web-scraper-order,web-scraper-start-url,title,title-href,vid
"1560014224-452","http://www.blackandwhitemovies.org/movies-list","Go Down, Death! (1944)","http://www.blackandwhitemovies.org/go-down-death-1944.html","http://www.archive.org/download/go_down_death/go_down_death_512kb.mp4"
"1560014089-438","http://www.blackandwhitemovies.org/movies-list","Metropolis (1925)","http://www.blackandwhitemovies.org/metropolis-1925.html","http://www.archive.org/download/Metropolis1925-LongerVersion/Metropolis1925_512kb.mp4"
"1560014470-475","http://www.blackandwhitemovies.org/movies-list","Charlie Chaplin’s Mabels Strange Predicament (1914)","http://www.blackandwhitemovies.org/charlie-chaplins-mabels-strange-predicament-1914.html","http://www.archive.org/download/CC_1914_02_09_MabelsStrangePredicament/CC_1914_02_09_MabelsStrangePredicament_512kb.mp4"
"1560013380-370","http://www.blackandwhitemovies.org/movies-list","The Lady Confesses (1945)","http://www.blackandwhitemovies.org/the-lady-confesses-1945.html","http://www.archive.org/download/Lady_Confesses/Lady_Confesses_512kb.mp4"
"1560013733-404","http://www.blackandwhitemovies.org/movies-list","The Circus (1928)","http://www.blackandwhitemovies.org/the-circus-1928.html","null"
"1560014661-493","http://www.blackandwhitemovies.org/movies-list","Black Dragons (1942)","http://www.blackandwhitemovies.org/black-dragons-1942.html","http://www.archive.org/download/BlackDragons/BlackDragons_512kb.mp4"
"1560014378-466","http://www.blackandwhitemovies.org/movies-list","Dick Tracy Meets Gruesome (1947)","http://www.blackandwhitemovies.org/dick-tracy-meets-gruesome-1947.html","http://www.archive.org/download/dick_tracy_meets_gruesome/dick_tracy_meets_gruesome_512kb.mp4"
"1560013130-348","http://www.blackandwhitemovies.org/movies-list","White Zombie (1932)","http://www.blackandwhitemovies.org/white-zombie-1932.html","http://www.archive.org/download/WhiteZombie/White_Zombie_512kb.mp4"
"1560013883-418","http://www.blackandwhitemovies.org/movies-list","Rocky Jones, Space Ranger – Crash of the Moons (1954)","http://www.blackandwhitemovies.org/rocky-jones-space-ranger-crash-of-the-moons-1954.html","http://www.archive.org/download/CrashoftheMoons/CrashoftheMoons_512kb.mp4"
"1560014158-446","http://www.blackandwhitemovies.org/movies-list","Jungle Man (1941)","http://www.blackandwhitemovies.org/jungle-man-1941.html","http://www.archive.org/download/jungle_man/jungleman_512kb.mp4"
"1560013589-389","http://www.blackandwhitemovies.org/movies-list","The Farmer’s Wife (1928)","http://www.blackandwhitemovies.org/the-farmers-wife-1928.html","http://www.archive.org/download/The_Farmers_Wife/The_Farmers_Wife_512kb.mp4"
"1560013336-366","http://www.blackandwhitemovies.org/movies-list","The Last Man on Earth (1964)","http://www.blackandwhitemovies.org/the-last-man-on-earth-1964.html","http://www.archive.org/download/the-last-man-on-earth/TheLastManOnEarth_512kb.mp4"
"1560014104-440","http://www.blackandwhitemovies.org/movies-list","Mr. Smith Goes to Washington (1939)","http://www.blackandwhitemovies.org/mr-smith-goes-to-washington-1939.html","null"
"1560013850-415","http://www.blackandwhitemovies.org/movies-list","Secret Agent (1936)","http://www.blackandwhitemovies.org/secret-agent-1936.html","http://www.archive.org/download/Hitchcock_Secret_Agent/Secret_Agent_512kb.mp4"
"1560013152-350","http://www.blackandwhitemovies.org/movies-list","Uncivilised (1936)","http://www.blackandwhitemovies.org/uncivilised-1936.html","http://www.archive.org/download/Uncivilised_1936/Uncivilized_Chauvel_1936.mp4_512kb.mp4"
